X, sigma
.115,1.042
.062,.021
.152,.0126
3.63,2.21
5.544,.982
2.858,1.18
3.77,2.7
.113,.675
.056,.095
.034,.07
.067,.029
.122,.066
.017,.009
.014,.008
.077,.033
.057,.019
.315,.125
.283,.143
.014,.038
.082,.038
.636,.323
1.715,1.006
.234,.091
1.637,.992
.084,.028
.056,.087
.029,.033
.033,.095
.009,.033
.062,.089
.293,.137
.323,.167
.012,.03
.02,.03
.068,.03
.32,.158
.038,.03
.281,.106
.22,.104
.044,.024
.066,.037
.034,.029
.273,.136
.059,.046
.348,.163
.8070000000000001,.489
.093,.056
1.151,.837
.415,.143
.015,.045
.038,.039
.133,.129
.109,.088
.085,.105
4.681,1.2
.046,.045
5.171,.911
.877,.804
.416,.15
.05,.043
5.434,1.001
1.179,1.136
.028,.052
.554,.215
1.373,1.186
.824,.829
5.504,1.104
.004,.011
.471,.193
.15,.105
.08,.251
.32,.29
1.252,.413
.008,.348
.075,.029
.4,.26
.016,.009
1.041,.272
.041,.272
.113,.365
.92,.251
1.052,.266
1.322,.461
.151,.403
.052,.266
1.074,.377
.063,.019
.153,.098
.009,.018
.112,.04
.025,.012
.02,.03
.088,.05
.113,.046
.0969,.0939
.017,.01
.08,.029
.01,.053
.069,.092
.132,.05
.0435,.209
.015,.009
.087,.034
.078,.03
.112,.04
.079,.042
.02,.007
.078,.1
.109,.038
.149,.15
.147,.145
.277,.16
.1644,.17
.267,.038
.249,.148
.632,.318
.152,.185
.347,.041
.106,.02
.092,.04
.65,.19
.83,.22
.49,.15
.7,.16
.19,.05
.21,.06
.206,.226
.083,.5669999999999999
.022,.066
.023,.026
.125,.124
.037,.028
.032,.022
.022,.021
26.2,11.5
15.2,10.4
.71,.23
.25,.09
.89,.24
.17,.05
.54,.22
.6,.17
.73,.18
.44,.13
.96,.26
.53,.14
.2,.06
.75,.22
1.21,.31
.93,.22
.82,.2
.14,.06
.22,.06
.08,.04
2.306,.532
.62,.298
.41,.2
.452,.149
1.071,.482
1.261,.6870000000000001
.32,.07
.11,.06
.14,.09
1.189,.408
.056,.026
.995,.194
5.52,.16
.37,.08
6.58,.09
.22,.08
.22,.1
1.246,.233
.14,.08
.1,.07
.45,.19
.0291,.222
.5629999999999999,.156
.52,.11
.63,.11
1.692,1.017
.29,.09
.17,.04
.35,.15
.46,.08
2.663,4.465
.513,.862
.132,.111
.773,.222
.094,.022
1.423,.526
.753,.137
.404,.049
.052,.077
.29,.11
.737,.116
1.276,.677
.16,.09
.403,.052
.24,.09
.476,.744
1.075,.474
.05,.05
.16,.11
1.261,.358
.48,.08
.07,.11
.021,.198
.05,.11
1.262,.139
.083,.112
.08,.1
.76,.209
.61,.11
.14,.07
.066,.05
.31,.1
.704,.171
.134,.029
.196,.065
.97,.474
8.951000000000001,2.139
.24,.047
.203,.189
.064,.107
.012,.012
6.35,1.474
.404,.108
.05,.014
9.032,2.632
.504,.077
.07,.03
.08,.04
.24,.122
.044,.016
.019,.02
.06,.02
.176,.085
5.778,1.702
.092,.05
1.144,.213
1.16,.204
.081,.028
1.579,.388
.129,.04
3.55,2.135
3.736,1.877
.095,.115
1.786,.389
1.827,7.692
.28,.094
.054,.011
.104,.135
5.695,4.566
1.346,.227
.0043,.000642
.182,.064
.325,.479
2.021,6.899
.18,.283
.368,.278
.011,.006
.97,.475
.024,.019
.099,.183
1.358,.309
.194,.093
.164,.086
.418,.063
.285,.114
.00498,.000668
.996,.186
.24,.122
.046,.044
11.304,7.194
.113,.045
.098,.026
.0219,.02
5,1.87
.008,.087
3.64,1.55
.0388,.021
.0687,.019
.206,.341
.15,.09
.09,.05
2.879,.703
.321,.104
.022,.012
.83,.175
.016,.036
.081,.024
.031,.159
.254,.104
.04,.02
4.31,1.77
.092,.046
.175,.069
.28,.387
.761,.118
1.216,.165
.007,.012
.58,.146
.421,.0987
.959,2.366
.731,.526
.162,.078
.206,.098
.295,.155
.864,.268
1.198,.164
1.508,.254
5.717,3.962
1.319,.326
.06,.018
.901,.251
.135,.058
.33,.109
.197,.392
.696,.152
1.723,.5610000000000001
1.039,.265
.873,.186
.125,.056
.059,.354
4.68,.89
.0579,.01
.00459,.00073
.08,.122
3.348,1.809
.597,.377
.00527,.000746
.001,.003
.41,.273
.051,.044
.0366,.12
.208,.259
3.725,2.085
.017,.105
.289,.075
.065,.027
1.84,.793
.0039,.000604
.4,.064
.627,.329
.48,.2
.75,.22
.107,.043
.14,.115
.11,.352
.24,.17
.031,.016
1.305,.476
.98,.23
.046,.021
1.11,.532
.039,.017
1.201,1.054
.32,.903
.42,.15
.23,.107
.46,.15
.977,.537
2.22,.902
.5,.17
.64,.22
1.93,.42
.55,.22
6.35,3.196
.88,.26
.048,.022
.012,.004
.05,.109
.195,.099
1.272,.792
.095,.026
6.35,3.196
.071,.03
.059,.035
.029,.013
1.802,1.738
.069,.038
6.399,3.322
1.626,2.025
.18,.09
13.293,5.132
26.465,8.648
24.101,6.614
8.343,4.144
.769,.209
.868,.097
8.784000000000001,4.344
.048,.017
7.103,3.223
1.026,.308
13.676,4.588
.2028,.01
.053,.026
.71,.199
.078,.016
.108,.063
.123,.019
1.104,.351
.968,.107
5.659,2.395
.084,.046
.21,.1
.1477,.0325
.091,.028
13.44,3.91
.0000168,.0000114
4.00000000000e-07,5.69000000000e-07
28.3848,9.487399999999999
9.279999999999999,4
.187,.164
8.56,2.51
.0000227,.0000142
.0000241,.0000178
6.00000000000e-07,6.11000000000e-07
14.32,4.31
8.5,2.81
2.42,.745
.0000409,.0000186
5.84,2.78
7.55,2.57
1.23,.47
2.293,2.0695
.168,.165
3.104,.756
.1524,.0277
27.06,8.199999999999999
10.26,3.84
3.88,2.68
.0706,.0187
18.16,5.55
9.94,3.73
.005,.223
1.02000000000e-06,5.51000000000e-07
5.70000000000e-07,6.62000000000e-07
3.1591,10.1428
183.9049,52.9436
2.42,.578
.045,.03
.05,.02
.013,.031
.16,.05
.05,.01
.16,.041
.299,.056
.04,.03
.08,.024
.051,.03
0,.01
.107,.026
.282,.128
.01,.01
.095,.026
.01,.01
7.375,1.847
6.917,2.049
8.382,1.165
7.948,1.593
7.225,2.196
5.868,13.109
6.917,2.049
5.904,4.43
7.77,2.532
5.902,4.444
7.765,3.215
7.77,2.528
.014,.07
.236,.073
.222,.101
.0634,.0325
.0126,.0273
.0014,.0114
.03,.0273
.0105,.0112
.0029,.0316
.019,.0176
.0286,.0178
344,206
.0047,.0108
121,63
.0032,.0113
